Species,Region,Collection_Date,Count
Adenovirus PREDICT_AdV-22,Africa,2011.0,3
Adenovirus PREDICT_AdV-23,Africa,2011.0,1
Adenovirus PREDICT_AdV-24,Africa,2009.0,5
Adenovirus PREDICT_AdV-24,Africa,2010.0,1
Adenovirus PREDICT_AdV-24,Africa,2011.0,1
Adenovirus PREDICT_AdV-25,Africa,2010.0,1
Adenovirus PREDICT_AdV-25,Africa,2013.0,1
Adenovirus PREDICT_AdV-26,Asia,2011.0,1
Adenovirus PREDICT_AdV-27,Asia,2011.0,1
Adenovirus PREDICT_AdV-28,Africa,2009.0,1
Adenovirus PREDICT_AdV-28,Africa,2010.0,2
Adenovirus PREDICT_AdV-29,Africa,2010.0,4
Adenovirus PREDICT_AdV-3,Asia,2009.0,1
Adenovirus PREDICT_AdV-30,Africa,2010.0,1
Adenovirus PREDICT_AdV-31,Africa,2012.0,2
Adenovirus PREDICT_AdV-32,Africa,2012.0,1
Adenovirus PREDICT_AdV-33,Africa,2009.0,3
Adenovirus PREDICT_AdV-34,Africa,2009.0,3
Adenovirus PREDICT_AdV-35,Africa,2006.0,1
Adenovirus PREDICT_AdV-35,Africa,2009.0,1
Adenovirus PREDICT_AdV-35,Africa,2010.0,1
Adenovirus PREDICT_AdV-35,Africa,2011.0,1
Adenovirus PREDICT_AdV-36,Africa,2009.0,1
Adenovirus PREDICT_AdV-36,Africa,2010.0,2
Adenovirus PREDICT_AdV-37,Africa,2009.0,1
Adenovirus PREDICT_AdV-37,Africa,2011.0,1
Adenovirus PREDICT_AdV-38,Africa,2009.0,7
Adenovirus PREDICT_AdV-38,Africa,2010.0,3
Adenovirus PREDICT_AdV-38,Africa,2011.0,2
Adenovirus PREDICT_AdV-39,Africa,2009.0,1
Adenovirus PREDICT_AdV-40,Africa,2009.0,1
Adenovirus PREDICT_AdV-41,Africa,2009.0,1
Adenovirus PREDICT_AdV-41,Africa,2010.0,1
Adenovirus PREDICT_AdV-42,Africa,2010.0,1
Adenovirus PREDICT_AdV-43,Africa,2012.0,3
Adenovirus PREDICT_AdV-44,Africa,2009.0,3
Adenovirus PREDICT_AdV-45,Africa,2011.0,2
Adenovirus PREDICT_AdV-46,Africa,2011.0,1
Adenovirus PREDICT_AdV-47,Africa,2012.0,1
Adenovirus PREDICT_AdV-48,Africa,2009.0,2
Adenovirus PREDICT_AdV-48,Africa,2010.0,1
Adenovirus PREDICT_AdV-48,Africa,2011.0,1
Adenovirus PREDICT_AdV-49,Africa,2010.0,3
Adenovirus PREDICT_AdV-49,Africa,2011.0,4
Adenovirus PREDICT_AdV-5,Asia,2009.0,3
Adenovirus PREDICT_AdV-50,Africa,2010.0,2
Adenovirus PREDICT_AdV-50,Africa,2011.0,1
Adenovirus PREDICT_AdV-51,Africa,2009.0,1
Adenovirus PREDICT_AdV-52,Africa,2012.0,1
Adenovirus PREDICT_AdV-53,Africa,2010.0,1
Adenovirus PREDICT_AdV-54,Africa,2010.0,2
Adenovirus PREDICT_AdV-55,Asia,2012.0,1
Adenovirus PREDICT_AdV-55,Asia,2013.0,6
Adenovirus PREDICT_AdV-56,Africa,2010.0,1
Adenovirus PREDICT_AdV-57,Africa,2010.0,1
Adenovirus PREDICT_AdV-58,Africa,2010.0,2
Adenovirus PREDICT_AdV-59,Africa,2010.0,1
Adenovirus PREDICT_AdV-60,Africa,2011.0,1
Adenovirus PREDICT_AdV-61,Africa,2010.0,1
Adenovirus PREDICT_AdV-62,Africa,2010.0,1
Adenovirus PREDICT_AdV-63,Africa,2011.0,1
Adenovirus PREDICT_AdV-64,Africa,2011.0,2
Adenovirus PREDICT_AdV-65,Africa,2009.0,1
Adenovirus PREDICT_AdV-66,Asia,2013.0,3
Adenovirus PREDICT_AdV-66,Asia,2014.0,2
Adenovirus PREDICT_AdV-67,Asia,2014.0,1
Adenovirus PREDICT_AdV-68,Africa,2009.0,1
Adenovirus PREDICT_AdV-68,Africa,2010.0,2
Adenovirus PREDICT_AdV-69,Asia,2012.0,3
Adenovirus PREDICT_AdV-69,Asia,2013.0,2
Adenovirus PREDICT_AdV-7,Asia,2009.0,2
Adenovirus PREDICT_AdV-70,Asia,2014.0,1
Adenovirus PREDICT_AdV-71,South America,2011.0,2
Adenovirus PREDICT_AdV-72,Asia,2013.0,6
Adenovirus PREDICT_AdV-73,Africa,2012.0,5
Adenovirus PREDICT_AdV-74,Africa,2009.0,1
Adenovirus PREDICT_AdV-74,Africa,2012.0,5
Adenovirus PREDICT_AdV-75,Africa,2012.0,109
Adenovirus PREDICT_AdV-77,Asia,2012.0,1
Adenovirus PREDICT_AdV-78,Africa,2010.0,1
Adenovirus PREDICT_AdV-79,Africa,2011.0,1
Adenovirus PREDICT_AdV-8,Asia,2009.0,1
Adenovirus PREDICT_AdV-80,Africa,2011.0,1
Adenovirus PREDICT_AdV-81,North America,2009.0,1
Adenovirus PREDICT_AdV-87,North America,2009.0,3
Adenovirus PREDICT_AdV-90,Asia,2011.0,6
Adenovirus PREDICT_AdV-91,Asia,2014.0,1
Adenovirus sp.,Asia,2009.0,1
Adenovirus sp.,Asia,2016.0,6
Adenovirus sp.,Asia,2017.0,11
Adenovirus sp.,Asia,2020.0,2
Adenovirus sp.,Asia,2021.0,2
Adenovirus sp.,Europa,2022.0,5
Adenovirus sp.,North America,2010.0,7
Adenovirus sp.,North America,2011.0,1
Adenovirus sp.,Oceans and Seas,2013.0,1
Adenovirus squirrel/298/07-19/PT,Europa,2019.0,2
Adenovirus squirrel/GBR/SG-2012,Europa,2006.0,1
Adenovirus squirrel/GBR/SG-2012,Europa,2007.0,1
Adintovirus sp.,North America,2016.0,1
Adintovirus sp.,North America,2019.0,1
